username,total_plays,success_count,success_rate,levels_played,average_time,best_level_times
jadi,1,1,100.0,1,00:43.889,Level 1: 00:43.889
Ulike,1,1,100.0,1,00:43.859,Level 1: 00:43.859
joshWbush,1,1,100.0,1,00:10.202,Level 1: 00:10.202
kendo,1,1,100.0,1,00:10.157,Level 1: 00:10.157
popup,1,1,100.0,1,00:10.179,Level 1: 00:10.179
captain,3,3,100.0,"1,2,3",00:12.508,Level 1: 00:13.635; Level 2: 00:11.478; Level 3: 00:12.410
kong,2,2,100.0,"1,2",00:12.631,Level 1: 00:13.778; Level 2: 00:11.484
Navigate,4,2,50.0,"1,2,3",00:11.250,Level 1: 00:13.603; Level 2: 00:11.382
